t,az
2.723000,9.895379066
2.743000,9.895379066
2.763000,9.890587807
2.784000,9.895379066
2.824000,9.900169373
2.844000,9.895379066
2.864000,9.890587807
2.885000,9.895379066
2.905000,9.895379066
2.944000,9.890587807
2.965000,9.890587807
2.985000,9.895379066
3.025000,9.895379066
3.045000,9.885796547
3.066000,9.900169373
3.086000,9.900169373
3.106000,9.890587807
3.146000,9.900169373
3.166000,9.890587807
3.186000,9.890587807
3.206000,9.895379066
3.226000,9.890587807
3.266000,9.885796547
3.286000,9.904960632
3.307000,9.890587807
3.326000,9.900169373
3.346000,9.885796547
3.367000,9.900169373
3.386000,9.885796547
3.407000,9.890587807
3.427000,9.900169373
3.467000,9.895379066
3.487000,9.895379066
3.507000,9.890587807
3.527000,9.890587807
3.547000,9.890587807
3.567000,9.890587807
3.588000,9.890587807
3.608000,9.890587807
3.628000,9.895379066
3.668000,9.900169373
3.688000,9.895379066
3.708000,9.885796547
3.728000,9.900169373
3.748000,9.881006241
3.769000,9.900169373
3.789000,9.895379066
3.829000,9.895379066
3.850000,9.890587807
3.869000,9.900169373
3.889000,9.885796547
3.909000,9.890587807
3.930000,9.895379066
3.950000,9.895379066
3.969000,9.895379066
3.990000,9.890587807
4.030000,9.890587807
4.050000,9.890587807
4.070000,9.895379066
4.090000,9.895379066
4.110000,9.890587807
4.130000,9.900169373
4.151000,9.885796547
4.191000,9.895379066
4.211000,9.890587807
4.231000,9.904960632
4.271000,9.890587807
4.292000,9.885796547
4.311000,9.890587807
4.332000,9.900169373
4.352000,9.890587807
4.392000,9.895379066
4.412000,9.900169373
4.432000,9.895379066
4.452000,9.890587807
4.493000,9.895379066
4.512000,9.895379066
4.532000,9.890587807
4.553000,9.885796547
4.593000,9.900169373
4.613000,9.900169373
4.633000,9.895379066
4.654000,9.895379066
4.674000,9.890587807
4.693000,9.895379066
4.713000,9.895379066
4.734000,9.890587807
4.754000,9.895379066
4.794000,9.900169373
4.834000,9.881006241
4.854000,9.900169373
4.874000,9.900169373
4.895000,9.885796547
4.934000,9.890587807
4.955000,9.904960632
4.974000,9.890587807
4.996000,9.881006241
5.035000,9.895379066
5.055000,9.900169373
5.075000,9.890587807
5.096000,9.890587807
5.135000,9.900169373
5.156000,9.895379066
5.176000,9.895379066
5.197000,9.895379066
5.236000,9.890587807
5.256000,9.890587807
5.276000,9.895379066
5.297000,9.904960632
5.336000,9.895379066
5.356000,9.900169373
5.376000,9.895379066
5.398000,9.895379066
5.437000,9.895379066
5.478000,9.895379066
5.498000,9.890587807
5.518000,9.890587807
5.558000,9.895379066
5.578000,9.890587807
5.598000,9.885796547
5.618000,9.900169373
5.638000,9.895379066
5.658000,9.895379066
5.678000,9.895379066
5.699000,9.895379066
5.739000,9.900169373
5.759000,9.890587807
5.779000,9.900169373
5.799000,9.895379066
5.839000,9.895379066
5.859000,9.900169373
5.879000,9.890587807
5.899000,9.895379066
5.919000,9.895379066
5.939000,9.900169373
5.960000,9.885796547
5.980000,9.895379066
6.000000,9.895379066
6.020000,9.895379066
6.060000,9.890587807
6.080000,9.890587807
6.100000,9.885796547
6.120000,9.895379066
6.140000,9.900169373
6.161000,9.895379066
6.181000,9.890587807
6.201000,9.895379066
6.221000,9.890587807
6.241000,9.900169373
6.261000,9.900169373
6.281000,9.895379066
6.302000,9.890587807
6.321000,9.900169373
6.362000,9.900169373
6.402000,9.890587807
6.422000,9.895379066
6.442000,9.890587807
6.463000,9.895379066
6.483000,9.900169373
6.502000,9.895379066
6.522000,9.890587807
6.543000,9.895379066
6.563000,9.900169373
6.604000,9.890587807
6.643000,9.890587807
6.663000,9.890587807
6.683000,9.895379066
6.703000,9.900169373
6.723000,9.890587807
6.743000,9.895379066
6.764000,9.895379066
6.804000,9.895379066
6.844000,9.895379066
6.864000,9.900169373
6.884000,9.895379066
6.924000,9.890587807
6.944000,9.890587807
6.965000,9.890587807
6.985000,9.895379066
7.005000,9.895379066
7.025000,9.900169373
7.046000,9.900169373
7.086000,9.900169373
7.107000,9.895379066
7.126000,9.900169373
7.146000,9.895379066
7.166000,9.895379066
7.187000,9.890587807
7.208000,9.895379066
7.228000,9.895379066
7.267000,9.895379066
7.288000,9.895379066
7.327000,9.895379066
7.348000,9.895379066
7.387000,9.895379066
7.408000,9.890587807
7.428000,9.895379066
7.448000,9.895379066
7.487000,9.890587807
7.508000,9.904960632
7.529000,9.890587807
7.548000,9.895379066
7.568000,9.895379066
7.609000,9.895379066
7.629000,9.895379066
7.651000,9.904960632
7.689000,9.900169373
7.711000,9.895379066
7.749000,9.895379066
7.769000,9.900169373
7.810000,9.895379066
7.830000,9.900169373
7.851000,9.895379066
7.870000,9.890587807
7.910000,9.895379066
7.932000,9.900169373
7.970000,9.895379066
7.990000,9.900169373
8.012000,9.895379066
8.051000,9.895379066
8.071000,9.904960632
8.112000,9.900169373
8.132000,9.900169373
8.171000,9.895379066
8.212000,9.904960632
8.232000,9.895379066
8.253000,9.890587807
8.292000,9.900169373
8.312000,9.900169373
8.332000,9.900169373
8.352000,9.900169373
8.372000,9.895379066
8.392000,9.900169373
8.413000,9.895379066
8.432000,9.890587807
8.453000,9.885796547
8.472000,9.890587807
8.493000,9.895379066
8.533000,9.904960632
8.572000,9.900169373
8.592000,9.895379066
8.613000,9.895379066
8.636000,9.900169373
8.674000,9.895379066
8.713000,9.895379066
8.735000,9.900169373
8.774000,9.895379066
8.794000,9.900169373
8.814000,9.900169373
8.834000,9.895379066
8.855000,9.895379066
8.874000,9.895379066
8.895000,9.900169373
8.914000,9.900169373
8.935000,9.900169373
8.955000,9.890587807
8.976000,9.900169373
9.016000,9.895379066
9.038000,9.900169373
9.076000,9.900169373
9.096000,9.895379066
9.136000,9.900169373
9.176000,9.904960632
9.216000,9.895379066
9.257000,9.900169373
9.297000,9.895379066
9.337000,9.895379066
9.357000,9.895379066
9.377000,9.890587807
9.397000,9.909751892
9.437000,9.890587807
9.458000,9.900169373
9.498000,9.895379066
9.517000,9.895379066
9.537000,9.895379066
9.559000,9.900169373
9.598000,9.904960632
9.618000,9.900169373
9.639000,9.890587807
9.660000,9.895379066
9.699000,9.895379066
9.719000,9.904960632
9.738000,9.900169373
9.760000,9.895379066
