t_ms,ax,ay,az,gx,gy,gz
8083,0.902094,-1.000200,9.069445,-99.625000,-34.140625,-22.390625
8167,0.868595,0.358923,8.284831,22.515625,-78.062500,-5.953125
8250,-0.270389,0.433101,9.265724,123.515625,-59.765625,-1.875000
8333,-0.918844,-0.806381,10.552522,148.781250,-5.328125,-0.625000
8417,-0.653241,-2.909672,11.127109,84.781250,30.515625,5.078125
8500,0.401994,-4.118048,10.498464,-25.156250,20.437500,-0.703125
8583,0.334995,-2.105684,9.907600,-93.515625,-21.953125,-15.484375
8667,-0.502493,0.358923,10.220780,-7.375000,0.609375,-15.000000
8750,-0.356531,0.241675,9.989537,94.359375,28.921875,-10.859375
8833,0.275175,-1.344766,9.323721,145.562500,30.796875,1.859375
8917,0.650848,-3.036492,8.915286,9.312500,-28.046875,-4.203125
9000,0.600598,-3.747160,10.179478,-103.234375,-11.531250,-12.093750
9083,-0.667598,-2.845066,10.770525,-133.937500,-24.468750,-26.046875
9167,1.028914,-2.591427,11.427671,186.562500,7.250000,16.406250
9250,-0.220140,-4.795216,11.422138,-31.671875,-58.578125,-25.734375
9333,-0.145962,0.129212,9.340607,-53.250000,21.875000,-21.218750
9417,-0.356531,0.698704,13.122551,130.656250,57.343750,16.015625
9500,0.153141,-2.048256,11.736260,127.890625,7.046875,12.859375
9583,-0.516850,-4.711468,13.635086,-9.078125,48.500000,12.984375
9667,-0.765703,-5.450850,13.822031,-141.937500,74.140625,-2.281250
9750,-0.193819,-3.555734,11.657670,-173.546875,39.328125,-24.390625
9833,0.428315,0.270389,9.983570,162.140625,-7.703125,6.578125
9917,0.305484,-0.646860,9.501704,112.671875,-10.932292,-5.239583
10000,0.182652,-1.564108,9.089673,63.203125,-14.161458,-17.057292
10083,0.059821,-2.481357,8.779331,13.734375,-17.390625,-28.875000
10167,0.078963,-2.672783,8.285971,13.734375,-17.390625,-28.875000
10250,-0.181855,-2.206182,9.491660,-91.796875,-23.093750,6.671875
10333,0.143569,-2.727818,7.852770,-43.890625,-36.500000,-26.218750
10417,0.088534,-2.629712,8.288011,-86.000000,-41.109375,-12.734375
10500,-0.512064,-0.445065,11.260286,-39.203125,11.828125,21.890625
10583,-0.698704,-2.720639,12.936011,-98.859375,-10.562500,3.250000
10667,0.004786,-0.306281,11.329848,121.265625,35.171875,20.875000
10750,-0.978664,-0.215354,13.727670,130.656250,57.343750,16.015625
10833,-0.071785,-4.125226,11.457539,-76.984375,-58.343750,-3.656250
10917,-0.468993,0.050249,11.537515,121.265625,35.171875,20.875000
11000,0.588634,-2.103291,10.527060,105.828125,-6.312500,8.250000
11083,-0.442672,0.256032,6.478809,-227.031250,82.921875,-7.015625
11167,0.734597,1.691726,7.053981,-73.781250,63.109375,-2.062500
11250,1.739582,0.337388,7.947373,137.234375,-71.375000,23.484375
11333,0.902094,-1.040878,8.155444,112.437500,-82.078125,1.406250
11417,-0.643669,-3.381058,8.446916,-76.656250,0.531250,-3.609375
11500,-0.614955,-2.541178,8.491801,24.843750,-43.421875,-11.093750
11583,-0.291924,-3.268596,9.442186,-159.390625,61.750000,2.546875
11667,-0.291924,-1.385444,10.612253,-69.796875,67.890625,-10.734375
11750,-0.009571,0.512064,11.210044,45.609375,51.890625,-13.140625
11833,0.368495,0.045464,10.824173,94.265625,26.703125,-13.828125
11917,0.289532,-1.579263,9.901026,69.750000,4.234375,-22.218750
12000,-0.378066,-3.670590,8.489071,-154.781250,35.734375,7.078125
12083,-0.753739,-2.813959,11.931146,-295.406250,-13.000000,-9.906250
12167,-0.847059,2.797210,11.265257,290.312500,53.984375,30.828125
12250,-0.145962,-1.727618,11.181853,226.750000,48.093750,29.593750
12333,0.717847,-5.843273,10.922280,-8.812500,-3.625000,-3.250000
12417,0.667598,-6.630511,10.565209,-241.328125,-45.828125,-23.531250
12500,-1.567299,3.826123,14.458376,-70.906250,65.421875,-14.343750
12583,-0.471386,-5.247460,8.562814,-240.546875,-35.687500,-24.546875
12667,1.612762,3.046063,13.773842,496.281250,-11.640625,6.687500
12750,1.696511,-6.242874,12.792885,284.140625,-94.328125,-59.296875
12833,-1.031307,-9.272188,12.396742,-42.546875,-95.265625,-75.078125
12917,-0.667598,-2.203790,6.575560,-294.140625,43.875000,-0.343750
13000,-1.107877,6.166304,15.165533,316.578125,74.937500,-0.984375
13083,0.050249,1.914258,9.017902,32.250000,36.531250,-22.109375
13167,-0.047856,-5.134997,10.942468,2.109375,-22.531250,8.890625
13250,-0.236889,-6.506085,11.469465,-196.578125,9.765625,7.812500
13333,-0.452243,-5.099105,11.103782,-276.343750,45.843750,-10.875000
13417,-0.421137,-1.495514,9.850730,-180.375000,52.859375,-31.593750
13500,0.126820,0.346959,8.667391,274.281250,20.312500,19.250000
13583,0.370888,2.706282,8.638992,226.390625,22.796875,4.250000
13667,-0.007178,-5.838487,9.943350,-77.281250,-5.109375,-1.375000
13750,0.476172,-5.946164,9.920391,-253.171875,-46.234375,-9.781250
13833,0.667598,-3.692125,9.208303,-262.796875,-70.640625,11.312500
13917,0.095713,0.346959,8.770044,-97.375000,-48.015625,30.984375
14000,-0.703490,3.445665,10.192490,139.609375,7.140625,28.500000
14083,-0.227318,-0.035892,8.186144,-27.109375,12.140625,9.546875
14167,0.265603,-1.969293,8.633243,-126.875000,-21.875000,6.484375
14250,-0.447458,0.990629,7.977768,83.515625,40.734375,8.140625
14333,0.050249,-0.887737,8.443723,113.468750,27.218750,-1.500000
14417,0.425922,-3.323631,9.492378,-15.078125,-2.859375,-18.046875
14500,-0.330210,0.772882,8.089030,148.000000,46.687500,6.953125
14583,0.119641,-4.187440,11.053529,-184.906250,-31.687500,-21.109375
14667,-0.119641,-1.359123,10.780562,-71.421875,-27.500000,-6.828125
14750,-0.081356,1.490728,10.539587,115.781250,-27.000000,6.109375
14833,0.100499,1.588834,10.249564,236.421875,-33.000000,11.421875
14917,0.095713,-1.519442,10.169941,188.718750,-34.906250,8.734375
15000,0.411565,-4.876572,10.606320,-151.828125,-25.484375,-27.500000
15083,0.311067,0.959522,10.800001,209.734375,-15.359375,9.765625
15167,-0.071785,-1.751546,10.622974,124.062500,-7.140625,-3.093750
15250,-0.277567,-4.536792,11.421318,-40.265625,12.828125,-8.421875
15333,-0.287139,-5.326423,12.753539,-161.484375,29.953125,-8.984375
15417,-0.078963,-2.677568,12.377112,-143.781250,33.015625,-8.265625
15500,-0.102891,-3.184847,8.663608,90.625000,12.531250,-9.593750
15583,-0.090927,-0.588634,8.677693,145.140625,11.140625,-0.437500
15667,0.291924,-4.074977,9.002217,-124.093750,-29.375000,-15.531250
15750,0.447458,-2.926422,8.756561,-168.187500,-39.781250,-5.062500
15833,0.318245,0.985843,10.302721,-14.406250,20.562500,-1.703125
15917,0.310269,-0.801597,10.108863,-82.630273,5.041652,-13.744803
16000,0.302293,-2.589038,10.192794,-150.854297,-10.479196,-25.786481
16083,0.294317,-4.376473,10.568749,-219.078125,-26.000000,-37.828125
16167,-0.045464,-5.893522,10.879127,-249.328125,10.265625,-34.796875
16250,0.526421,-0.701097,9.947875,-34.421875,-53.359375,-13.750000
16333,-0.614955,-1.780260,10.093740,100.609375,21.484375,8.875000
16417,-0.205783,-5.697311,10.903581,-103.953125,30.359375,-9.171875
16500,0.332602,2.139183,9.775635,162.578125,-60.281250,12.203125
