t_ms,ax,ay,az,gx,gy,gz
9917,0.305484,-0.646860,9.478768,112.671875,-10.932292,-5.239583
10000,0.182652,-1.564108,8.972287,63.203125,-14.161458,-17.057292
10083,0.059821,-2.481357,8.465806,13.734375,-17.390625,-28.875000
10167,0.078963,-2.672783,7.874779,13.734375,-17.390625,-28.875000
10250,-0.181855,-2.206182,9.231510,-91.796875,-23.093750,6.671875
10333,0.143569,-2.727818,7.369894,-43.890625,-36.500000,-26.218750
10417,0.088534,-2.629712,7.867601,-86.000000,-41.109375,-12.734375
10500,-0.512064,-0.445065,11.251052,-39.203125,11.828125,21.890625
10583,-0.698704,-2.720639,12.631711,-98.859375,-10.562500,3.250000
10667,0.004786,-0.306281,11.327622,121.265625,35.171875,20.875000
10750,-0.978664,-0.215354,13.701302,130.656250,57.343750,16.015625
10833,-0.071785,-4.125226,10.693524,-76.984375,-58.343750,-3.656250
10917,-0.468993,0.050249,11.528619,121.265625,35.171875,20.875000
11000,0.588634,-2.103291,10.320244,105.828125,-6.312500,8.250000
11083,-0.442672,0.256032,6.687939,-227.031250,82.921875,-7.015625
11167,0.734597,1.691726,7.154540,-73.781250,63.109375,-2.062500
11250,1.739582,0.337388,7.822137,137.234375,-71.375000,23.484375
11333,0.902094,-1.040878,8.059027,112.437500,-82.078125,1.406250
11417,-0.643669,-3.381058,7.764709,-76.656250,0.531250,-3.609375
11500,-0.614955,-2.541178,8.097312,24.843750,-43.421875,-11.093750
11583,-0.291924,-3.268596,8.858229,-159.390625,61.750000,2.546875
11667,-0.291924,-1.385444,10.521241,-69.796875,67.890625,-10.734375
11750,-0.009571,0.512064,11.207981,45.609375,51.890625,-13.140625
11833,0.368495,0.045464,10.817951,94.265625,26.703125,-13.828125
11917,0.289532,-1.579263,9.791430,69.750000,4.234375,-22.218750
12000,-0.378066,-3.670590,7.661818,-154.781250,35.734375,7.078125
12083,-0.753739,-2.813959,11.581261,-295.406250,-13.000000,-9.906250
12167,-0.847059,2.797210,10.904093,290.312500,53.984375,30.828125
12250,-0.145962,-1.727618,11.102697,226.750000,48.093750,29.593750
12333,0.717847,-5.843273,9.317651,-8.812500,-3.625000,-3.250000
12417,0.667598,-6.630511,8.228917,-241.328125,-45.828125,-23.531250
12500,-1.567299,3.826123,13.861621,-70.906250,65.421875,-14.343750
12583,-0.471386,-5.247460,6.809973,-240.546875,-35.687500,-24.546875
12667,1.612762,3.046063,13.383057,496.281250,-11.640625,6.687500
12750,1.696511,-6.242874,11.263016,284.140625,-94.328125,-59.296875
12833,-1.031307,-9.272188,8.355737,-42.546875,-95.265625,-75.078125
12917,-0.667598,-2.203790,6.506085,-294.140625,43.875000,-0.343750
13000,-1.107877,6.166304,13.840086,316.578125,74.937500,-0.984375
13083,0.050249,1.914258,8.829515,32.250000,36.531250,-22.109375
13167,-0.047856,-5.134997,9.757931,2.109375,-22.531250,8.890625
13250,-0.236889,-6.506085,9.494720,-196.578125,9.765625,7.812500
13333,-0.452243,-5.099105,9.853643,-276.343750,45.843750,-10.875000
13417,-0.421137,-1.495514,9.793823,-180.375000,52.859375,-31.593750
13500,0.126820,0.346959,8.676375,274.281250,20.312500,19.250000
13583,0.370888,2.706282,8.233703,226.390625,22.796875,4.250000
13667,-0.007178,-5.838487,8.288737,-77.281250,-5.109375,-1.375000
13750,0.476172,-5.946164,7.972885,-253.171875,-46.234375,-9.781250
13833,0.667598,-3.692125,8.439485,-262.796875,-70.640625,11.312500
13917,0.095713,0.346959,8.970692,-97.375000,-48.015625,30.984375
14000,-0.703490,3.445665,9.734002,139.609375,7.140625,28.500000
14083,-0.227318,-0.035892,8.195417,-27.109375,12.140625,9.546875
14167,0.265603,-1.969293,8.403593,-126.875000,-21.875000,6.484375
14250,-0.447458,0.990629,7.941778,83.515625,40.734375,8.140625
14333,0.050249,-0.887737,8.413164,113.468750,27.218750,-1.500000
